codIBGE,municipio,regiao
3300100,Angra dos Reis,Interior
3300209,Araruama,Interior
3300233,Armação dos Búzios,Interior
3300258,Arraial do Cabo,Interior
3300308,Barra do Pirai,Interior
3300407,Barra Mansa,Interior
3300456,Belford Roxo,Interior
3300506,Bom Jardim,Interior
3300605,Bom Jesus de Itabapoana,Interior
3300704,Cabo Frio,Interior
3300803,Cachoeiras de Macacu,Interior
3300902,Cambuci,Interior
3301009,Campos dos Goytacazes,Interior
3301108,Cantagalo,Interior
3301207,Carmo,Interior
3301306,Casimiro de Abreu,Interior
3301405,Conceição de Macabú,Interior
3301603,Duas Barras,Interior
3301702,Duque de Caxias,Baixada Fluminense
3301801,Engenheiro Paulo de Frontin,Grande Niterói
3301850,Guapimirim,Interior
3301876,Iguaba Grande,Interior
3301900,Itaboraí,Grande Niterói
3302007,Itaguaí,Interior
3302106,Itaocara,Interior
3302254,Itatiaia,Interior
3302270,Japeri,Baixada Fluminense
3302304,Laje do Muriaé,Interior
3302403,Macaé,Interior
3302502,Magé,Interior
3302601,Mangaratiba,Interior
3302700,Maricá,Interior
3302809,Mendes,Interior
3302858,Mesquita,Baixada Fluminense
3303005,Miracema,Interior
3303203,Nilópolis,Baixada Fluminense
3303302,Niterói,Grande Niterói
3303401,Nova Friburgo,Interior
3303500,Nova Iguaçu,Baixada Fluminense
3303609,Paracambi,Interior
3303708,Paraíba do Sul,Interior
3303807,Paraty,Interior
3303906,Petrópolis,Interior
3303955,Pinheiral,Interior
3304003,Piraí,Interior
3304102,Porciúncula,Interior
3304144,Queimados,Baixada Fluminense
3304201,Resende,Interior
3304300,Rio Bonito,Grande Niterói
3304409,Rio Claro,Interior
3304508,Rio das Flores,Interior
3304524,Rio das Ostras,Interior
3304557,Rio de Janeiro,Capital
3304607,Santa Maria Madalena,Interior
3304755,São Francisco de Itabapoana,Interior
3304805,São Fidélis,Interior
3304904,São Gonçalo,Grande Niterói
3305000,São João da Barra,Interior
3305109,São João de Meriti,Baixada Fluminense
3305158,São José do Vale do Rio Preto,Interior
3305208,São Pedro da Aldeia,Interior
3305307,São Sebastião do Alto,Interior
3305406,Sapucaia,Interior
3305505,Saquarema,Interior
3305554,Seropédica,Interior
3305604,Silva Jardim,Interior
3305703,Sumidouro,Interior
3305752,Tanguá,Grande Niterói
3305802,Teresópolis,Interior
3305901,Trajano de Morais,Interior
3306107,Valença,Interior
3306206,Vassouras,Interior
3306305,Volta Redonda,Interior
9999991,Comendador Levy Gasparian;Areal;Três Rios,Interior
9999992,Porto Real;Quatis,Interior
9999993,Santo Antônio de Pádua;Aperibé,Interior
9999994,Quissamã;Carapebus,Interior
9999995,Cardoso Moreira;Italva,Interior
9999996,Itaperuna;São José de Ubá,Interior
9999997,Natividade;Varre-Sai,Interior
9999998,Cordeiro;Macuco,Interior
9999999,Miguel Pereira;Paty dos Alferes,Interior
